id,price,sale price,gyarto,modell,evjarat,km ora,uzemenyag,KW,LE,allapot,csomagtarto,kivitel,szemelyek_szama,szin,hengerurtartalom,hajtas,valto tipus,valto szam,valto subtipus,vegyes fogyasztas
22049898,1499000.0,,OPEL,ASTRA ASTRA H,2008.92,135000.0,Benzin,103.0,140.0,Normál,380.0,Kombi,5.0,Sötétszürke,1796.0,Első kerék,Manuális,5.0,,7.5
21935456,1499000.0,,FORD,FOCUS,2007.0,166000.0,Benzin,74.0,101.0,Kitűnő,482.0,Kombi,5.0,Fekete (metál),1596.0,Első kerék,Manuális,5.0,,6.7
21871038,1499000.0,,FORD,FIESTA,2011.67,253000.0,Benzin,44.0,60.0,Újszerű,295.0,Ferdehátú,5.0,Sötétkék,1242.0,Első kerék,Manuális,5.0,,5.4
22153099,1499999.0,,SMART,FORTWO FORTWO BRABUS,2003.25,229000.0,Benzin,55.0,75.0,Kitűnő,,Coupe,2.0,Sárga,698.0,Hátsó kerék,Szekvenciális,6.0,,
22126959,1499999.0,,VOLVO,S40,2007.0,152213.0,Benzin,92.0,125.0,Normál,404.0,Sedan,5.0,Sötétszürke (metál),1798.0,Első kerék,Manuális,5.0,,7.3
22134556,1500000.0,,AUDI,A8,2000.0,345000.0,Dízel,132.0,179.0,Normál,525.0,Sedan,5.0,Kék,2496.0,Első kerék,Manuális,6.0,,7.3
22132961,1500000.0,,SKODA,FABIA,2008.33,72959.0,Benzin,63.0,86.0,Megkímélt,300.0,Ferdehátú,5.0,Bézs,1390.0,Első kerék,Manuális,5.0,,6.5
22072021,1500000.0,,PEUGEOT,208,2012.5,253000.0,Dízel,50.0,68.0,Megkímélt,285.0,Ferdehátú,5.0,Fekete,1398.0,Első kerék,Manuális,5.0,,3.8
22155644,1500000.0,,HYUNDAI,I30,2010.58,172282.0,Benzin,80.0,109.0,Normál,340.0,Ferdehátú,5.0,Szürke,1396.0,Első kerék,Manuális,5.0,,6.1
22143466,1500000.0,,ALFA ROMEO,159,2007.75,295000.0,Dízel,88.0,120.0,Megkímélt,405.0,Kombi,5.0,,1910.0,Első kerék,Manuális,6.0,,5.9
22153825,1510000.0,,VOLKSWAGEN,POLO POLO IV,2004.75,61000.0,Benzin,55.0,75.0,Kitűnő,270.0,Ferdehátú,5.0,Fekete,1390.0,Első kerék,Manuális,5.0,,6.4
21870167,1520000.0,,VOLVO,V50,2006.25,326000.0,Dízel,100.0,136.0,Megkímélt,417.0,Kombi,5.0,Ezüst (metál),1998.0,Első kerék,Manuális,6.0,,5.7
22081315,,,TOYOTA,RAV 4,2003.92,275000.0,Dízel,85.0,116.0,Normál,400.0,Városi terepjáró (crossover),5.0,,1995.0,Összkerék,Manuális,5.0,,7.1
22142429,1550000.0,,MAZDA,B-SOROZAT B 2500,2003.92,410000.0,Dízel,80.0,109.0,Normál,,Pickup,5.0,,2500.0,,Manuális,5.0,,11.3
22126209,1550000.0,,SAAB,9-3,2009.0,232500.0,Benzin,110.0,150.0,Megkímélt,,Sedan,5.0,,1998.0,Első kerék,Automata,5.0,,8.5
21919049,1550000.0,,VOLKSWAGEN,GOLF GOLF VI,2009.17,369793.0,Benzin,59.0,80.0,Normál,350.0,Ferdehátú,5.0,Fekete,1390.0,Első kerék,Manuális,5.0,,6.4
21935127,1580000.0,,FORD,C-MAX,2008.92,263092.0,Benzin/Gáz,107.0,145.0,Megkímélt,460.0,Egyterű,5.0,Ezüst (metál),1999.0,Első kerék,Manuális,5.0,,7.3
22145578,1590000.0,,MERCEDES-BENZ,B-OSZTÁLY,2010.67,282000.0,Benzin,85.0,116.0,Megkímélt,,Egyterű,5.0,,1699.0,,Manuális,5.0,,
22065912,1590000.0,,SUZUKI,SPLASH,2010.08,131000.0,Benzin,63.0,86.0,Normál,178.0,Ferdehátú,5.0,Fehér,1242.0,Első kerék,Manuális,5.0,,5.5
21967486,,,SEAT,LEON,2008.5,194000.0,Benzin,75.0,102.0,Kitűnő,341.0,Ferdehátú,5.0,Világosszürke (metál),1595.0,Első kerék,Manuális,5.0,,7.6
21904315,1599000.0,,FORD,FOCUS,2009.58,255000.0,Benzin,74.0,101.0,Kitűnő,482.0,Kombi,5.0,Kék (metál),1596.0,Első kerék,Manuális,5.0,,6.4
22151259,1600000.0,,TOYOTA,AVENSIS,2007.83,218000.0,Benzin,108.0,147.0,Normál,520.0,Kombi,5.0,Szürke (metál),1998.0,Első kerék,Manuális,5.0,,9.4
22002713,1600000.0,,HONDA,CR-V,2006.0,203000.0,Benzin,118.0,160.0,Normál,525.0,Városi terepjáró (crossover),5.0,Világosszürke,2354.0,Összkerék,Automata,6.0,,9.3
21849357,1600000.0,,MAZDA,MX-5,2001.17,270000.0,Benzin,81.0,110.0,Normál,144.0,Cabrio,2.0,Szürke,1598.0,Hátsó kerék,Manuális,5.0,,8.1
22123272,1625000.0,,OPEL,CORSA CORSA D,2007.33,104900.0,Benzin,66.0,90.0,Megkímélt,285.0,Ferdehátú,5.0,Fekete,1364.0,Első kerék,Manuális,5.0,,6.2
19823122,1635000.0,,FORD,FIESTA,2009.83,186000.0,Benzin,60.0,82.0,Megkímélt,295.0,Ferdehátú,5.0,,1242.0,Első kerék,Manuális,5.0,,5.7
22129379,1649000.0,,PEUGEOT,308,2009.5,128000.0,Benzin,110.0,150.0,Megkímélt,348.0,Cabrio,5.0,,1598.0,Első kerék,Manuális,5.0,,7.1
22060447,,,SUZUKI,SWIFT,2009.17,168471.0,Benzin,68.0,92.0,Kitűnő,213.0,Ferdehátú,5.0,Fekete (metál),1328.0,Első kerék,Manuális,5.0,,6.2
22151478,1650000.0,,FIAT,BRAVO,2011.25,170777.0,Benzin,66.0,90.0,Kitűnő,400.0,Ferdehátú,5.0,,1368.0,Első kerék,Manuális,6.0,,6.7
22130227,1650000.0,,OPEL,INSIGNIA,2010.92,296620.0,Dízel,118.0,160.0,Normál,530.0,Ferdehátú,5.0,Fehér,1956.0,Első kerék,Manuális,6.0,,5.1
22129889,1650000.0,,SKODA,ROOMSTER,2007.0,261400.0,Dízel,77.0,105.0,Megkímélt,477.0,Egyterű,5.0,Pezsgő (metál),1896.0,Első kerék,Manuális,5.0,,5.4
22020259,1650000.0,,VOLKSWAGEN,GOLF GOLF PLUS,2006.92,209000.0,Benzin,75.0,102.0,Megkímélt,395.0,Egyterű,5.0,,1595.0,Első kerék,Manuális,5.0,,7.9
22107188,1650000.0,,FIAT,500,2010.33,204000.0,Benzin,51.0,69.0,Normál,185.0,Ferdehátú,4.0,Fehér,1242.0,Első kerék,Manuális,5.0,,5.1
22054443,1650000.0,,TOYOTA,AVENSIS,2003.33,110000.0,Benzin,95.0,129.0,Megkímélt,510.0,Ferdehátú,5.0,Kék (metál),1794.0,Első kerék,Manuális,5.0,,7.2
21986193,1670000.0,,OPEL,CORSA CORSA D,2012.08,152165.0,Benzin,74.0,101.0,Megkímélt,285.0,Ferdehátú,5.0,Szürke (metál),1364.0,Első kerék,Manuális,5.0,,5.7
22150795,1689000.0,,TOYOTA,YARIS,2005.0,257705.0,Benzin,78.0,106.0,Normál,205.0,Ferdehátú,5.0,Világosszürke,1497.0,Első kerék,Manuális,5.0,,6.8
22134902,1690000.0,,HYUNDAI,I30,2011.0,151370.0,Benzin,80.0,109.0,Megkímélt,415.0,Kombi,5.0,Fehér,1396.0,Első kerék,Manuális,5.0,,6.3
22106784,1690000.0,,BMW,X SOROZAT X3,2007.0,359000.0,Dízel,110.0,150.0,Kitűnő,480.0,Városi terepjáró (crossover),5.0,,1995.0,Összkerék,Manuális,6.0,,7.2
22104932,1690000.0,,FIAT,PANDA,2006.83,134958.0,Benzin,74.0,101.0,Normál,203.0,Ferdehátú,4.0,Szürke,1368.0,Első kerék,Manuális,6.0,,6.5
22062900,1690000.0,,PEUGEOT,107,2012.92,66719.0,Benzin,50.0,68.0,Megkímélt,130.0,Ferdehátú,4.0,Piros,998.0,Első kerék,Manuális,5.0,,4.5
21900388,1690000.0,,OPEL,CORSA CORSA D,2010.17,149500.0,Benzin,74.0,101.0,Megkímélt,285.0,Ferdehátú,5.0,,1364.0,Első kerék,Manuális,5.0,,5.5
22147058,1699000.0,,SUZUKI,SX4,2007.0,159000.0,Benzin,73.0,99.0,Normál,270.0,Ferdehátú,5.0,(metál),1490.0,Első kerék,Manuális,5.0,,6.8
22143493,1699000.0,,FORD,MONDEO,2009.0,299000.0,Dízel,103.0,140.0,Kitűnő,554.0,Kombi,5.0,Fekete (metál),1997.0,Első kerék,Manuális,6.0,,5.9
22143418,1699000.0,,KIA,CEE'D,2011.08,207000.0,Benzin,77.0,105.0,Megkímélt,340.0,Ferdehátú,5.0,,1396.0,Első kerék,Manuális,5.0,,5.8
