id,price,manufacturer,model,year,kilometers,fuel_type,kw,condition,trunk_capacity,body_type,seats,color,engine_capacity,drive_type,transmission_type,number_of_gears,km_imputed,metallic
22152207,6499000.0,SKODA,SUPERB,2017.83,188000.0,Dízel,110.0,Kitűnő,625.0,Kombi,5.0,Fekete,1968.0,Első kerék,Automata,7.0,0,1
22151602,6499000.0,BMW,I SOROZAT I3,2018.83,119000.0,Elektromos,125.0,Kitűnő,260.0,Ferdehátú,4.0,Sötétkék,0.0,Hátsó kerék,Fokozatmentes automata,0.0,0,0
22148490,6499000.0,BMW,X SOROZAT X1,2017.58,140000.0,Dízel,140.0,Megkímélt,505.0,Városi terepjáró (crossover),5.0,Barna,1995.0,Összkerék,Automata tiptronic,8.0,0,0
22121453,6499000.0,AUDI,A3,2016.33,171000.0,Dízel,135.0,Megkímélt,329.0,Ferdehátú,5.0,Fekete,1968.0,Első kerék,Manuális,6.0,0,0
22117280,6499000.0,HONDA,CIVIC,2017.92,209000.0,Benzin,95.0,Megkímélt,478.0,Ferdehátú,5.0,Kék,988.0,Első kerék,Manuális,6.0,0,1
21964111,6499000.0,FORD,MONDEO,2021.25,89000.0,Dízel,110.0,Újszerű,525.0,Kombi,5.0,Ezüst,1997.0,Első kerék,Automata,8.0,0,1
22155571,6499999.0,AUDI,Q3,2014.17,206000.0,Dízel,130.0,Kitűnő,460.0,Városi terepjáró (crossover),5.0,Unknown,1968.0,Összkerék,Unknown,5.0,0,0
22152481,6499999.0,VOLKSWAGEN,GOLF GOLF VII,2020.58,139999.0,Dízel,110.0,Sérülésmentes,605.0,Kombi,5.0,Fekete,1968.0,Első kerék,Automata,7.0,0,1
18224346,6499999.0,BMW,5-ÖS SOROZAT 520,2011.75,180000.0,Dízel,135.0,Normál,520.0,Sedan,5.0,Aranysárga,1995.0,Hátsó kerék,Automata tiptronic,8.0,0,1
22172672,6500000.0,FORD,MUSTANG,2012.0,126000.0,Benzin,224.0,Újszerű,445.0,Coupe,4.0,Unknown,3726.0,Unknown,Automata,6.0,0,0
22161469,6500000.0,NISSAN,X-TRAIL,2021.58,73000.0,Benzin,117.0,Normál,565.0,Városi terepjáró (crossover),7.0,Világosszürke,1332.0,Első kerék,Automata,6.0,0,0
22142602,6500000.0,TOYOTA,COROLLA,2019.83,66000.0,Benzin,85.0,Sérülésmentes,329.0,Ferdehátú,5.0,Fehér,1197.0,Unknown,Manuális,6.0,0,0
22142451,6500000.0,AUDI,A8,2012.83,306000.0,Dízel,258.0,Normál,510.0,Sedan,5.0,Fekete,4134.0,Összkerék,Automata tiptronic,8.0,0,0
22142385,6500000.0,MERCEDES-BENZ,S-OSZTÁLY S 350,2010.0,262000.0,Dízel,173.0,Megkímélt,560.0,Sedan,5.0,Fekete,2987.0,Összkerék,Automata tiptronic,7.0,0,0
22138352,6500000.0,TOYOTA,COROLLA,2020.42,78300.0,Benzin,97.0,Megkímélt,471.0,Sedan,5.0,Sötétbarna,1598.0,Első kerék,Manuális,6.0,0,0
22136193,6500000.0,BMW,3-AS SOROZAT 328,2003.75,223000.0,Benzin,229.0,Kitűnő,445.0,Coupe,5.0,Aranysárga,2793.0,Hátsó kerék,Manuális,6.0,0,0
22133638,6500000.0,PEUGEOT,RIFTER,2019.0,98923.0,Benzin,81.0,Normál,65.0,Egyterű,7.0,Unknown,1199.0,Első kerék,Manuális,6.0,0,0
22127739,6500000.0,HYUNDAI,KONA,2020.42,53120.0,Elektromos,100.0,Kitűnő,332.0,Városi terepjáró (crossover),5.0,Szürke,0.0,Első kerék,Fokozatmentes automata,0.0,0,0
22125943,6500000.0,VOLKSWAGEN,PASSAT PASSAT VIII,2020.42,195000.0,Dízel,140.0,Kitűnő,650.0,Kombi,5.0,Unknown,1968.0,Első kerék,Unknown,5.0,0,0
22125920,6500000.0,BMW,2-ES SOROZAT 220,2016.42,120875.0,Dízel,140.0,Normál,645.0,Egyterű,5.0,Fehér,1995.0,Összkerék,Automata tiptronic,8.0,0,0
22083714,6500000.0,VOLKSWAGEN,TOUAREG,2015.17,305000.0,Dízel,193.0,Normál,580.0,Városi terepjáró (crossover),5.0,Ezüst,2967.0,Összkerék,Automata tiptronic,8.0,0,0
22056749,6500000.0,AUDI,A7,2012.0,244000.0,Dízel,180.0,Normál,535.0,Coupe,5.0,Fekete,2967.0,Összkerék,Automata,7.0,0,1
22001197,6500000.0,SKODA,SUPERB,2017.92,304100.0,Dízel,140.0,Kitűnő,660.0,Kombi,5.0,Ezüst,1968.0,Állandó összkerék,Automata,7.0,0,0
21996173,6500000.0,CITROEN,C4,2020.92,88461.0,Benzin,96.0,Kitűnő,380.0,Ferdehátú,5.0,Fekete,1199.0,Első kerék,Manuális,6.0,0,0
21967342,6500000.0,AUDI,S5,2011.17,211000.0,Benzin,245.0,Újszerű,480.0,Ferdehátú,4.0,Fekete,2995.0,Összkerék,Unknown,5.0,0,1
21958900,6500000.0,MERCEDES-BENZ,E-OSZTÁLY E 350,2014.0,183000.0,Dízel,180.0,Megkímélt,445.0,Coupe,4.0,Fekete,3000.0,Hátsó kerék,Automata,7.0,0,0
21905203,6500000.0,FORD,TRANSIT,2016.92,116816.0,Dízel,96.0,Normál,6830.0,Kisbusz,9.0,Barna,1997.0,Első kerék,Manuális,6.0,0,0
21843425,6500000.0,AUDI,Q5,2015.25,146000.0,Dízel,140.0,Kitűnő,540.0,Városi terepjáró (crossover),5.0,Unknown,1968.0,Összkerék,Automata,7.0,0,0
22176489,6500000.0,HONDA,CIVIC,2010.5,137275.0,Benzin,148.0,Normál,456.0,Ferdehátú,4.0,Fehér,1998.0,Első kerék,Manuális,6.0,0,0
22115556,6549000.0,HYUNDAI,KONA,2020.92,53000.0,Elektromos,100.0,Megkímélt,332.0,Városi terepjáró (crossover),5.0,Unknown,0.0,Első kerék,Fokozatmentes automata,0.0,0,0
22174640,6550000.0,VOLVO,V40,2019.42,120000.0,Benzin,112.0,Normál,324.0,Ferdehátú,5.0,Unknown,1498.0,Első kerék,Automata tiptronic,6.0,0,0
22170319,6550000.0,PEUGEOT,5008,2021.25,129000.0,Benzin,96.0,Normál,780.0,Városi terepjáró (crossover),5.0,Unknown,1198.0,Első kerék,Manuális,6.0,0,0
21872432,6550000.0,AUDI,ALLROAD A6 ALLROAD,2015.92,260456.0,Dízel,200.0,Kitűnő,565.0,Kombi,5.0,Fehér,2967.0,Összkerék,Automata,7.0,0,0
22131580,6580000.0,FORD,KUGA,2019.92,87000.0,Benzin,110.0,Kitűnő,456.0,Városi terepjáró (crossover),5.0,Unknown,1498.0,Első kerék,Manuális,6.0,0,0
22163161,6590000.0,CITROEN,BERLINGO,2021.42,55000.0,Benzin,81.0,Normál,322.0,Egyterű,7.0,Barna,1199.0,Első kerék,Manuális,6.0,0,1
22133214,6590000.0,MAZDA,6,2016.58,164000.0,Dízel,129.0,Kitűnő,522.0,Kombi,5.0,Unknown,2191.0,Összkerék,Automata tiptronic,6.0,0,0
22108202,6590000.0,HONDA,CIVIC,2019.25,63548.0,Benzin,93.0,Kitűnő,478.0,Ferdehátú,5.0,Piros,988.0,Első kerék,Manuális,6.0,0,0
22095809,6590000.0,AUDI,A6,2016.92,220000.0,Dízel,140.0,Normál,485.0,Sedan,5.0,Unknown,1968.0,Első kerék,Automata,7.0,0,0
22080664,6590000.0,VOLKSWAGEN,GOLF GOLF VII,2013.75,186000.0,Benzin,169.0,Kitűnő,380.0,Ferdehátú,5.0,Fehér,1984.0,Első kerék,Automata,6.0,0,0
22146533,6599000.0,NISSAN,LEAF,2020.08,24936.0,Elektromos,110.0,Újszerű,420.0,Ferdehátú,5.0,Fehér,0.0,Első kerék,Fokozatmentes automata,0.0,0,0
21864289,6599000.0,SUZUKI,VITARA,2021.58,47269.0,Benzin,95.0,Kitűnő,375.0,Városi terepjáró (crossover),5.0,Unknown,1373.0,Első kerék,Manuális,6.0,0,0
22166994,6600000.0,VOLKSWAGEN,GOLF GOLF VII,2014.33,136000.0,Benzin,162.0,Kitűnő,380.0,Ferdehátú,5.0,Fehér,1984.0,Első kerék,Unknown,5.0,0,0
22136839,6600000.0,CITROEN,C4,2022.08,84578.0,Dízel,96.0,Normál,380.0,Ferdehátú,5.0,Okker,1499.0,Első kerék,Manuális,6.0,0,0
22126050,6600000.0,MERCEDES-BENZ,E-OSZTÁLY E 220,2016.25,201000.0,Dízel,125.0,Kitűnő,445.0,Coupe,4.0,Fekete,2143.0,Hátsó kerék,Manuális,6.0,0,0
22108192,6600000.0,OPEL,COMBO,2020.08,123000.0,Benzin,81.0,Kitűnő,430.0,Egyterű,7.0,Sötétbarna,1199.0,Első kerék,Manuális,6.0,0,0
22095576,6600000.0,AUDI,A7,2012.17,315000.0,Dízel,230.0,Megkímélt,535.0,Coupe,5.0,Unknown,2967.0,Összkerék,Automata tiptronic,8.0,0,0
22083696,6600000.0,OPEL,COMBO,2020.75,76000.0,Benzin,81.0,Normál,597.0,Egyterű,7.0,Fehér,1199.0,Első kerék,Manuális,6.0,0,0
21852558,6600000.0,BMW,1-ES SOROZAT 118,2015.25,177000.0,Dízel,110.0,Kitűnő,360.0,Ferdehátú,5.0,Kék,1995.0,Hátsó kerék,Automata tiptronic,8.0,0,0
22160986,6650000.0,KIA,CEE'D,2021.67,60000.0,Benzin,117.0,Normál,625.0,Kombi,5.0,Unknown,1482.0,Első kerék,Manuális,6.0,0,0
22118628,6650000.0,OPEL,COMBO,2020.33,53000.0,Benzin,81.0,Kitűnő,850.0,Egyterű,7.0,Unknown,1199.0,Első kerék,Manuális,6.0,0,0
22086763,6650000.0,SUZUKI,VITARA,2020.17,95600.0,Benzin,95.0,Megkímélt,375.0,Városi terepjáró (crossover),5.0,Sötétszürke,1373.0,Első kerék,Manuális,6.0,0,1
22095167,6660000.0,BMW,3-AS SOROZAT 335,2010.25,207000.0,Benzin,225.0,Normál,430.0,Cabrio,4.0,Unknown,2979.0,Hátsó kerék,Unknown,5.0,0,0
22159985,6699000.0,OPEL,GRANDLAND X,2020.83,68500.0,Dízel,130.0,Újszerű,514.0,Városi terepjáró (crossover),5.0,Fekete,1997.0,Első kerék,Automata tiptronic,8.0,0,1
22165235,6700000.0,MAZDA,CX-5,2018.08,165000.0,Dízel,135.0,Normál,494.0,Városi terepjáró (crossover),5.0,Piros,2191.0,Összkerék,Automata tiptronic,6.0,0,0
22164356,6700000.0,MERCEDES-BENZ,ML-OSZTÁLY ML 250,2012.0,144000.0,Dízel,150.0,Normál,690.0,Városi terepjáró (crossover),5.0,Unknown,2143.0,Összkerék,Automata tiptronic,7.0,0,0
22151006,6700000.0,HONDA,CIVIC,2019.83,36320.0,Benzin,93.0,Kitűnő,478.0,Ferdehátú,5.0,Unknown,988.0,Első kerék,Manuális,6.0,0,0
22146427,6700000.0,MAZDA,3,2019.42,127000.0,Benzin,90.0,Normál,444.0,Sedan,5.0,Sötétszürke,1998.0,Első kerék,Manuális,6.0,0,0
